company_name,Website,industry,Country,funding_amount,funding_stage,Last Funding Date,data_source,is_early_stage,is_startup,funding_category
Mercor,mercor.com,Artificial Intelligence,United States,75000000.0,Series B,Feb 2025,Growth List,False,True,Late Stage (≤$100M)
Created by Humans,www.createdbyhumans.ai,Artificial Intelligence,United States,5500000.0,Seed,Feb 2025,Growth List,True,True,Early Stage (≤$10M)
Manas AI,www.manasai.co,Artificial Intelligence,United States,24600000.0,Seed,Feb 2025,Growth List,True,True,Growth Stage (≤$50M)
BluWhale,bluwhale.net,"Artificial Intelligence, Cloud Computing",United States,75000000.0,Initial Coin Offering,Feb 2025,Growth List,False,True,Late Stage (≤$100M)
Savant Labs,savantlabs.io,"Artificial Intelligence, Data, Analytics",United States,18500000.0,Series A,Feb 2025,Growth List,True,True,Growth Stage (≤$50M)
Athenic AI,Athenic.com,"Artificial Intelligence, Data, Analytics",United States,4300000.0,Seed,Feb 2025,Growth List,True,True,Early Stage (≤$10M)
Delve,www.delve.co,"Artificial Intelligence, Data, Marketing",United States,3300000.0,Seed,Feb 2025,Growth List,True,True,Early Stage (≤$10M)
Motif,motif.io,Augmented Reality,United States,46000000.0,Series A,Feb 2025,Growth List,True,True,Growth Stage (≤$50M)
Atomicwork,www.atomicwork.com,Cloud Computing,United States,25000000.0,Series A,Feb 2025,Growth List,True,True,Growth Stage (≤$50M)
Kroskod,Kroskod.com,Cloud Computing,United States,,Pre-Seed,Feb 2025,Growth List,True,True,Unknown
Roofr,roofr.com,"Construction, Marketplace, Aerospace",United States,,Series B,Feb 2025,Growth List,False,True,Unknown
Pakal Technologies,pakal-tech.com,Electronics,United States,25000000.0,Series B,Feb 2025,Growth List,False,True,Growth Stage (≤$50M)
Smart Wires,www.smartwires.com,Energy,United States,65000000.0,Private Equity,Feb 2025,Growth List,False,True,Late Stage (≤$100M)
WeaveGrid,www.weavegrid.com,"Energy, Cloud Computing",United States,,Venture - Series Unknown,Feb 2025,Growth List,False,True,Unknown
Wisetack,www.wisetack.com,Finance,United States,25000000.0,Venture - Series Unknown,Feb 2025,Growth List,False,True,Growth Stage (≤$50M)
Taxflow,www.jointaxflow.ai,"FinTech, Finance",United States,750000.0,Pre-Seed,Feb 2025,Growth List,True,True,Seed Stage (≤$1M)
Bicycle Health,www.bicyclehealth.com,Healthcare,United States,16500000.0,Venture - Series Unknown,Feb 2025,Growth List,False,True,Growth Stage (≤$50M)
Delfina,www.delfina.com,Healthcare,United States,17000000.0,Series A,Feb 2025,Growth List,True,True,Growth Stage (≤$50M)
Safely You,www.safely-you.com,"Healthcare, Family",United States,43000000.0,Series C,Feb 2025,Growth List,False,True,Growth Stage (≤$50M)
Waterlily,www.waterlily.com,"Healthcare, Insurance, Family",United States,7000000.0,Seed,Feb 2025,Growth List,True,True,Early Stage (≤$10M)
Tandem Space,tandem.space,Aerospace,United States,6100000.0,Seed,Feb 2025,Growth List,True,True,Early Stage (≤$10M)
Riot,tryriot.com,Artificial Intelligence,United States,30000000.0,Series B,Feb 2025,Growth List,False,True,Growth Stage (≤$50M)
Response,www.tryresponse.com,Artificial Intelligence,United States,4160000.0,Seed,Feb 2025,Growth List,True,True,Early Stage (≤$10M)
TrueFoundry,truefoundry.com,Artificial Intelligence,United States,19000000.0,Series A,Feb 2025,Growth List,True,True,Growth Stage (≤$50M)
Ivo,www.ivo.ai,"Artificial Intelligence, Marketing",United States,16000000.0,Series A,Feb 2025,Growth List,True,True,Growth Stage (≤$50M)
Warmly,warmly.ai,"Artificial Intelligence, Sales",United States,6000000.0,Series A,Feb 2025,Growth List,True,True,Early Stage (≤$10M)
Plume Network,www.plumenetwork.xyz,Blockchain,United States,,Venture - Series Unknown,Feb 2025,Growth List,False,True,Unknown
Monograph,monograph.com,"Cloud Computing, Architecture",United States,20000000.0,Series B,Feb 2025,Growth List,False,True,Growth Stage (≤$50M)
Trace.Space,trace.space,"Cloud Computing, Artificial Intelligence",United States,4000000.0,Seed,Feb 2025,Growth List,True,True,Early Stage (≤$10M)
Semgrep,semgrep.dev,"Cyber Security, Analytics",United States,100000000.0,Series D,Feb 2025,Growth List,False,True,Late Stage (≤$100M)
Converge,www.runconverge.com,"Data, Marketing",United States,5600000.0,Venture - Series Unknown,Feb 2025,Growth List,False,True,Early Stage (≤$10M)
Archive,www.archiveresale.com,"E-commerce, Fashion, Marketplace",United States,30000000.0,Series B,Feb 2025,Growth List,False,True,Growth Stage (≤$50M)
TaxGPT,www.taxgpt.com,"Finance, Artificial Intelligence",United States,4600000.0,Seed,Feb 2025,Growth List,True,True,Early Stage (≤$10M)
Sotira,sotira.co,"FinTech, Finance",United States,2000000.0,Pre-Seed,Feb 2025,Growth List,True,True,Early Stage (≤$10M)
Little Otter,www.littleotterhealth.com,"Healthcare, Mental Health",United States,9500000.0,Venture - Series Unknown,Feb 2025,Growth List,False,True,Early Stage (≤$10M)
Fay,www.faynutrition.com,"Healthcare, Wellness, Nutrition and Supplements",United States,50000000.0,Series B,Feb 2025,Growth List,False,True,Growth Stage (≤$50M)
Tyba,www.tyba.ai,"Human Resources, Recruiting, Artificial Intelligence",United States,13900000.0,Series A,Feb 2025,Growth List,True,True,Growth Stage (≤$50M)
Mixedbread,mixedbread.ai,Artificial Intelligence,United States,5500000.0,Seed,Feb 2025,Growth List,True,True,Early Stage (≤$10M)
Fal,www.fal.ai,Artificial Intelligence,United States,49000000.0,Series B,Feb 2025,Growth List,False,True,Growth Stage (≤$50M)
Pinkfish,www.pinkfish.ai,Artificial Intelligence,United States,7600000.0,Pre-Seed,Feb 2025,Growth List,True,True,Early Stage (≤$10M)
Future AGI,futureagi.com,Artificial Intelligence,United States,1600000.0,Pre-Seed,Feb 2025,Growth List,True,True,Early Stage (≤$10M)
Harvey,harvey.ai,"Artificial Intelligence, Legal",United States,300000000.0,Series D,Feb 2025,Growth List,False,True,Mega Round (>$100M)
Tofu,www.tofuhq.com,Cloud Computing,United States,12000000.0,Series A,Feb 2025,Growth List,True,True,Growth Stage (≤$50M)
Hydro Wind Energy,www.hw.energy,Energy,United States,82660.0,Equity Crowdfunding,Feb 2025,Growth List,False,True,Seed Stage (≤$1M)
Limited,limitedapp.com,Finance,United States,3000000.0,Pre-Seed,Feb 2025,Growth List,True,True,Early Stage (≤$10M)
Comulate,www.comulate.com,"Finance, Analytics",United States,20000000.0,Series B,Feb 2025,Growth List,False,True,Growth Stage (≤$50M)
museLIVE Inc.,quabble.app,Gaming,United States,,Seed,Feb 2025,Growth List,True,True,Unknown
Candid Health,www.joincandidhealth.com,Healthcare,United States,52500000.0,Series C,Feb 2025,Growth List,False,True,Late Stage (≤$100M)
Junevity,www.junevity.com,"Healthcare, Wellness",United States,10000000.0,Seed,Feb 2025,Growth List,True,True,Early Stage (≤$10M)
Human,joinhuman.com,Human Resources,United States,7300000.0,Pre-Seed,Feb 2025,Growth List,True,True,Early Stage (≤$10M)
Vouch,www.vouch.us,Insurance,United States,,Series D,Feb 2025,Growth List,False,True,Unknown
Index,www.index.inc,Marketing,United States,2193705.0,Seed,Feb 2025,Growth List,True,True,Early Stage (≤$10M)
Suger,www.suger.io,Marketplace,United States,15000000.0,Series A,Feb 2025,Growth List,True,True,Growth Stage (≤$50M)
Fifteenth,www.fifteenth.com,"Real Estate, Property Management",United States,8250000.0,Seed,Feb 2025,Growth List,True,True,Early Stage (≤$10M)
Era Finance,era.app,Wellness,United States,6200000.0,Seed,Feb 2025,Growth List,True,True,Early Stage (≤$10M)
Beam,www.trybeam.com,Wellness,United States,11000000.0,Series A,Feb 2025,Growth List,True,True,Growth Stage (≤$50M)
Baseten,www.baseten.co,Artificial Intelligence,United States,75000000.0,Series C,Feb 2025,Growth List,False,True,Late Stage (≤$100M)
CTGT,www.ctgt.ai,Artificial Intelligence,United States,7200000.0,Seed,Feb 2025,Growth List,True,True,Early Stage (≤$10M)
Entangl,www.entangl.ai,Artificial Intelligence,United States,,Venture - Series Unknown,Feb 2025,Growth List,False,True,Unknown
Lingo.dev,lingo.dev,Artificial Intelligence,United States,4200000.0,Seed,Feb 2025,Growth List,True,True,Early Stage (≤$10M)
Pulse,www.runpulse.com,Artificial Intelligence,United States,3900000.0,Seed,Feb 2025,Growth List,True,True,Early Stage (≤$10M)
Sawmills,www.sawmills.ai,Artificial Intelligence,United States,10000000.0,Seed,Feb 2025,Growth List,True,True,Early Stage (≤$10M)
Together AI,www.together.ai,"Artificial Intelligence, Cloud Computing",United States,305000000.0,Series B,Feb 2025,Growth List,False,True,Mega Round (>$100M)
Mercor,mercor.com,"Artificial Intelligence, Human Resources",United States,100000000.0,Series B,Feb 2025,Growth List,False,True,Late Stage (≤$100M)
Aomni,www.aomni.com,"Artificial Intelligence, Sales",United States,4000000.0,Seed,Feb 2025,Growth List,True,True,Early Stage (≤$10M)
Hightouch,www.hightouch.com,"Data, Marketing",United States,80000000.0,Series C,Feb 2025,Growth List,False,True,Late Stage (≤$100M)
Riley,rileyapp.com,"Finance, Cloud Computing",United States,3100000.0,Seed,Feb 2025,Growth List,True,True,Early Stage (≤$10M)
Varo Bank,www.varomoney.com,"FinTech, Finance",United States,28982355.0,Series G,Feb 2025,Growth List,False,True,Growth Stage (≤$50M)
Lambda,lambdalabs.com,"Hardware, Artificial Intelligence",United States,480000000.0,Series D,Feb 2025,Growth List,False,True,Mega Round (>$100M)
Wurthy,www.wurthy.co,"Cloud Computing, Wellness",United States,,Seed,Jan 2025,Growth List,True,True,Unknown
OpenFunnel,openfunnel.dev,Artificial Intelligence,United States,1300000.0,Pre-Seed,Jan 2025,Growth List,True,True,Early Stage (≤$10M)
Innovaccer,www.innovaccer.com,"Artificial Intelligence, Cloud Computing, Data, Analytics",United States,275000000.0,Series F,Jan 2025,Growth List,False,True,Mega Round (>$100M)
MilkStraw AI,www.milkstraw.ai,"Artificial Intelligence, Data",United States,600000.0,Pre-Seed,Jan 2025,Growth List,True,True,Seed Stage (≤$1M)
Tenvie Therapeutics,tenvie.com,"Biotechnology, Healthcare",United States,200000000.0,Series A,Jan 2025,Growth List,True,True,Mega Round (>$100M)
Movement Labs,movementlabs.xyz,Blockchain,United States,100000000.0,Series B,Jan 2025,Growth List,False,True,Late Stage (≤$100M)
Cuckoo,www.cuckoo.so,Cloud Computing,United States,500000.0,Pre-Seed,Jan 2025,Growth List,True,True,Seed Stage (≤$1M)
Fazeshift,www.fazeshift.com,Energy,United States,4000000.0,Seed,Jan 2025,Growth List,True,True,Early Stage (≤$10M)
Gridware,gridware.io,Environment,United States,26500000.0,Series A,Jan 2025,Growth List,True,True,Growth Stage (≤$50M)
Siren Care,siren.care,Healthcare,United States,9500000.0,Venture - Series Unknown,Jan 2025,Growth List,False,True,Early Stage (≤$10M)
Grove,grovetrials.com,"Healthcare, Artificial Intelligence",United States,4900000.0,Seed,Jan 2025,Growth List,True,True,Early Stage (≤$10M)
Abstract,abstract.us,Legal,United States,4800000.0,Seed,Jan 2025,Growth List,True,True,Early Stage (≤$10M)
Ouro Medicines,www.ouromedicines.com,Pharmaceuticals,United States,120000000.0,Series A,Jan 2025,Growth List,True,True,Mega Round (>$100M)
Tangible,tangiblematerials.com,Real Estate,United States,3000000.0,Venture - Series Unknown,Jan 2025,Growth List,False,True,Early Stage (≤$10M)
Loft Orbital,www.loftorbital.com,Aerospace,United States,170000000.0,Series C,Jan 2025,Growth List,False,True,Mega Round (>$100M)
Homestead Capital,www.homesteadcapital.com,"Agriculture, Investing",United States,,Venture - Series Unknown,Jan 2025,Growth List,False,True,Unknown
Magic,magic.dev,Artificial Intelligence,United States,805525.0,Venture - Series Unknown,Jan 2025,Growth List,False,True,Seed Stage (≤$1M)
Thoras.ai,thoras.ai,"Artificial Intelligence, Cloud Computing",United States,5000000.0,Seed,Jan 2025,Growth List,True,True,Early Stage (≤$10M)
Mesh,meshconnect.com,Blockchain,United States,,Venture - Series Unknown,Jan 2025,Growth List,False,True,Unknown
Phantom,phantom.com,Blockchain,United States,150000000.0,Series C,Jan 2025,Growth List,False,True,Mega Round (>$100M)
Open Ledger,www.openledger.com,Blockchain,United States,3000000.0,Venture - Series Unknown,Jan 2025,Growth List,False,True,Early Stage (≤$10M)
Instabase,instabase.com,Data,United States,100000000.0,Series D,Jan 2025,Growth List,False,True,Late Stage (≤$100M)
Arva AI,www.arva.ai,"Data, Artificial Intelligence, Analytics",United States,3000000.0,Seed,Jan 2025,Growth List,True,True,Early Stage (≤$10M)
kegg,kegg.tech,"Electronics, Artificial Intelligence",United States,6500000.0,Series A,Jan 2025,Growth List,True,True,Early Stage (≤$10M)
Teal Health,getteal.com,"Healthcare, B2C Software",United States,10000000.0,Seed,Jan 2025,Growth List,True,True,Early Stage (≤$10M)
Vividly,govividly.com,Hospitality,United States,30000000.0,Series B,Jan 2025,Growth List,False,True,Growth Stage (≤$50M)
Eve,www.eve.legal,Legal,United States,47000000.0,Series A,Jan 2025,Growth List,True,True,Growth Stage (≤$50M)
Thrive,thrivenextgen.com,Professional Services,United States,,Private Equity,Jan 2025,Growth List,False,True,Unknown
Rainbow,www.userainbow.com,Social Network,United States,8000000.0,Series A,Jan 2025,Growth List,True,True,Early Stage (≤$10M)
Gravity,www.gravityclimate.com,Accounting,United States,13000000.0,Series A,Jan 2025,Growth List,True,True,Growth Stage (≤$50M)
Ember Software,www.embersoftware.com,Cloud Computing,United States,10000000.0,Venture - Series Unknown,Jan 2025,Growth List,False,True,Early Stage (≤$10M)
