Name,Website,Industry,Country,Funding Amount (USD),Funding Type,Last Funding Date,data_source
Mercor,mercor.com,Artificial Intelligence,United States,"$75,000,000",Series B,Feb 2025,Growth List
Created by Humans,www.createdbyhumans.ai,Artificial Intelligence,United States,"$5,500,000",Seed,Feb 2025,Growth List
Manas AI,www.manasai.co,Artificial Intelligence,United States,"$24,600,000",Seed,Feb 2025,Growth List
BluWhale,bluwhale.net,"Artificial Intelligence, Cloud Computing",United States,"$75,000,000",Initial Coin Offering,Feb 2025,Growth List
Savant Labs,savantlabs.io,"Artificial Intelligence, Data, Analytics",United States,"$18,500,000",Series A,Feb 2025,Growth List
Athenic AI,Athenic.com,"Artificial Intelligence, Data, Analytics",United States,"$4,300,000",Seed,Feb 2025,Growth List
Delve,www.delve.co,"Artificial Intelligence, Data, Marketing",United States,"$3,300,000",Seed,Feb 2025,Growth List
Motif,motif.io,Augmented Reality,United States,"$46,000,000",Series A,Feb 2025,Growth List
Atomicwork,www.atomicwork.com,Cloud Computing,United States,"$25,000,000",Series A,Feb 2025,Growth List
Kroskod,Kroskod.com,Cloud Computing,United States,,Pre-Seed,Feb 2025,Growth List
Roofr,roofr.com,"Construction, Marketplace, Aerospace",United States,,Series B,Feb 2025,Growth List
Pakal Technologies,pakal-tech.com,Electronics,United States,"$25,000,000",Series B,Feb 2025,Growth List
Smart Wires,www.smartwires.com,Energy,United States,"$65,000,000",Private Equity,Feb 2025,Growth List
WeaveGrid,www.weavegrid.com,"Energy, Cloud Computing",United States,,Venture - Series Unknown,Feb 2025,Growth List
Wisetack,www.wisetack.com,Finance,United States,"$25,000,000",Venture - Series Unknown,Feb 2025,Growth List
Taxflow,www.jointaxflow.ai,"FinTech, Finance",United States,"$750,000",Pre-Seed,Feb 2025,Growth List
Bicycle Health,www.bicyclehealth.com,Healthcare,United States,"$16,500,000",Venture - Series Unknown,Feb 2025,Growth List
Delfina,www.delfina.com,Healthcare,United States,"$17,000,000",Series A,Feb 2025,Growth List
Safely You,www.safely-you.com,"Healthcare, Family",United States,"$43,000,000",Series C,Feb 2025,Growth List
Waterlily,www.waterlily.com,"Healthcare, Insurance, Family",United States,"$7,000,000",Seed,Feb 2025,Growth List
Tandem Space,tandem.space,Aerospace,United States,"$6,100,000",Seed,Feb 2025,Growth List
Riot,tryriot.com,Artificial Intelligence,United States,"$30,000,000",Series B,Feb 2025,Growth List
Response,www.tryresponse.com,Artificial Intelligence,United States,"$4,160,000",Seed,Feb 2025,Growth List
TrueFoundry,truefoundry.com,Artificial Intelligence,United States,"$19,000,000",Series A,Feb 2025,Growth List
Ivo,www.ivo.ai,"Artificial Intelligence, Marketing",United States,"$16,000,000",Series A,Feb 2025,Growth List
Warmly,warmly.ai,"Artificial Intelligence, Sales",United States,"$6,000,000",Series A,Feb 2025,Growth List
Plume Network,www.plumenetwork.xyz,Blockchain,United States,,Venture - Series Unknown,Feb 2025,Growth List
Monograph,monograph.com,"Cloud Computing, Architecture",United States,"$20,000,000",Series B,Feb 2025,Growth List
Trace.Space,trace.space,"Cloud Computing, Artificial Intelligence",United States,"$4,000,000",Seed,Feb 2025,Growth List
Semgrep,semgrep.dev,"Cyber Security, Analytics",United States,"$100,000,000",Series D,Feb 2025,Growth List
Converge,www.runconverge.com,"Data, Marketing",United States,"$5,600,000",Venture - Series Unknown,Feb 2025,Growth List
Archive,www.archiveresale.com,"E-commerce, Fashion, Marketplace",United States,"$30,000,000",Series B,Feb 2025,Growth List
TaxGPT,www.taxgpt.com,"Finance, Artificial Intelligence",United States,"$4,600,000",Seed,Feb 2025,Growth List
Sotira,sotira.co,"FinTech, Finance",United States,"$2,000,000",Pre-Seed,Feb 2025,Growth List
Little Otter,www.littleotterhealth.com,"Healthcare, Mental Health",United States,"$9,500,000",Venture - Series Unknown,Feb 2025,Growth List
Fay,www.faynutrition.com,"Healthcare, Wellness, Nutrition and Supplements",United States,"$50,000,000",Series B,Feb 2025,Growth List
Tyba,www.tyba.ai,"Human Resources, Recruiting, Artificial Intelligence",United States,"$13,900,000",Series A,Feb 2025,Growth List
Mixedbread,mixedbread.ai,Artificial Intelligence,United States,"$5,500,000",Seed,Feb 2025,Growth List
Fal,www.fal.ai,Artificial Intelligence,United States,"$49,000,000",Series B,Feb 2025,Growth List
Pinkfish,www.pinkfish.ai,Artificial Intelligence,United States,"$7,600,000",Pre-Seed,Feb 2025,Growth List
Future AGI,futureagi.com,Artificial Intelligence,United States,"$1,600,000",Pre-Seed,Feb 2025,Growth List
Harvey,harvey.ai,"Artificial Intelligence, Legal",United States,"$300,000,000",Series D,Feb 2025,Growth List
Tofu,www.tofuhq.com,Cloud Computing,United States,"$12,000,000",Series A,Feb 2025,Growth List
Hydro Wind Energy,www.hw.energy,Energy,United States,"$82,660",Equity Crowdfunding,Feb 2025,Growth List
Limited,limitedapp.com,Finance,United States,"$3,000,000",Pre-Seed,Feb 2025,Growth List
Comulate,www.comulate.com,"Finance, Analytics",United States,"$20,000,000",Series B,Feb 2025,Growth List
museLIVE Inc.,quabble.app,Gaming,United States,,Seed,Feb 2025,Growth List
Candid Health,www.joincandidhealth.com,Healthcare,United States,"$52,500,000",Series C,Feb 2025,Growth List
Junevity,www.junevity.com,"Healthcare, Wellness",United States,"$10,000,000",Seed,Feb 2025,Growth List
Human,joinhuman.com,Human Resources,United States,"$7,300,000",Pre-Seed,Feb 2025,Growth List
Vouch,www.vouch.us,Insurance,United States,,Series D,Feb 2025,Growth List
Index,www.index.inc,Marketing,United States,"$2,193,705",Seed,Feb 2025,Growth List
Suger,www.suger.io,Marketplace,United States,"$15,000,000",Series A,Feb 2025,Growth List
Fifteenth,www.fifteenth.com,"Real Estate, Property Management",United States,"$8,250,000",Seed,Feb 2025,Growth List
Era Finance,era.app,Wellness,United States,"$6,200,000",Seed,Feb 2025,Growth List
Beam,www.trybeam.com,Wellness,United States,"$11,000,000",Series A,Feb 2025,Growth List
Baseten,www.baseten.co,Artificial Intelligence,United States,"$75,000,000",Series C,Feb 2025,Growth List
CTGT,www.ctgt.ai,Artificial Intelligence,United States,"$7,200,000",Seed,Feb 2025,Growth List
Entangl,www.entangl.ai,Artificial Intelligence,United States,,Venture - Series Unknown,Feb 2025,Growth List
Lingo.dev,lingo.dev,Artificial Intelligence,United States,"$4,200,000",Seed,Feb 2025,Growth List
Pulse,www.runpulse.com,Artificial Intelligence,United States,"$3,900,000",Seed,Feb 2025,Growth List
Sawmills,www.sawmills.ai,Artificial Intelligence,United States,"$10,000,000",Seed,Feb 2025,Growth List
Together AI,www.together.ai,"Artificial Intelligence, Cloud Computing",United States,"$305,000,000",Series B,Feb 2025,Growth List
Mercor,mercor.com,"Artificial Intelligence, Human Resources",United States,"$100,000,000",Series B,Feb 2025,Growth List
Aomni,www.aomni.com,"Artificial Intelligence, Sales",United States,"$4,000,000",Seed,Feb 2025,Growth List
Hightouch,www.hightouch.com,"Data, Marketing",United States,"$80,000,000",Series C,Feb 2025,Growth List
Riley,rileyapp.com,"Finance, Cloud Computing",United States,"$3,100,000",Seed,Feb 2025,Growth List
Varo Bank,www.varomoney.com,"FinTech, Finance",United States,"$28,982,355",Series G,Feb 2025,Growth List
Lambda,lambdalabs.com,"Hardware, Artificial Intelligence",United States,"$480,000,000",Series D,Feb 2025,Growth List
Wurthy,www.wurthy.co,"Cloud Computing, Wellness",United States,,Seed,Jan 2025,Growth List
OpenFunnel,openfunnel.dev,Artificial Intelligence,United States,"$1,300,000",Pre-Seed,Jan 2025,Growth List
Innovaccer,www.innovaccer.com,"Artificial Intelligence, Cloud Computing, Data, Analytics",United States,"$275,000,000",Series F,Jan 2025,Growth List
MilkStraw AI,www.milkstraw.ai,"Artificial Intelligence, Data",United States,"$600,000",Pre-Seed,Jan 2025,Growth List
Tenvie Therapeutics,tenvie.com,"Biotechnology, Healthcare",United States,"$200,000,000",Series A,Jan 2025,Growth List
Movement Labs,movementlabs.xyz,Blockchain,United States,"$100,000,000",Series B,Jan 2025,Growth List
Cuckoo,www.cuckoo.so,Cloud Computing,United States,"$500,000",Pre-Seed,Jan 2025,Growth List
Fazeshift,www.fazeshift.com,Energy,United States,"$4,000,000",Seed,Jan 2025,Growth List
Gridware,gridware.io,Environment,United States,"$26,500,000",Series A,Jan 2025,Growth List
Siren Care,siren.care,Healthcare,United States,"$9,500,000",Venture - Series Unknown,Jan 2025,Growth List
Grove,grovetrials.com,"Healthcare, Artificial Intelligence",United States,"$4,900,000",Seed,Jan 2025,Growth List
Abstract,abstract.us,Legal,United States,"$4,800,000",Seed,Jan 2025,Growth List
Ouro Medicines,www.ouromedicines.com,Pharmaceuticals,United States,"$120,000,000",Series A,Jan 2025,Growth List
Tangible,tangiblematerials.com,Real Estate,United States,"$3,000,000",Venture - Series Unknown,Jan 2025,Growth List
Loft Orbital,www.loftorbital.com,Aerospace,United States,"$170,000,000",Series C,Jan 2025,Growth List
Homestead Capital,www.homesteadcapital.com,"Agriculture, Investing",United States,,Venture - Series Unknown,Jan 2025,Growth List
Magic,magic.dev,Artificial Intelligence,United States,"$805,525",Venture - Series Unknown,Jan 2025,Growth List
Thoras.ai,thoras.ai,"Artificial Intelligence, Cloud Computing",United States,"$5,000,000",Seed,Jan 2025,Growth List
Mesh,meshconnect.com,Blockchain,United States,,Venture - Series Unknown,Jan 2025,Growth List
Phantom,phantom.com,Blockchain,United States,"$150,000,000",Series C,Jan 2025,Growth List
Open Ledger,www.openledger.com,Blockchain,United States,"$3,000,000",Venture - Series Unknown,Jan 2025,Growth List
Instabase,instabase.com,Data,United States,"$100,000,000",Series D,Jan 2025,Growth List
Arva AI,www.arva.ai,"Data, Artificial Intelligence, Analytics",United States,"$3,000,000",Seed,Jan 2025,Growth List
kegg,kegg.tech,"Electronics, Artificial Intelligence",United States,"$6,500,000",Series A,Jan 2025,Growth List
Teal Health,getteal.com,"Healthcare, B2C Software",United States,"$10,000,000",Seed,Jan 2025,Growth List
Vividly,govividly.com,Hospitality,United States,"$30,000,000",Series B,Jan 2025,Growth List
Eve,www.eve.legal,Legal,United States,"$47,000,000",Series A,Jan 2025,Growth List
Thrive,thrivenextgen.com,Professional Services,United States,,Private Equity,Jan 2025,Growth List
Rainbow,www.userainbow.com,Social Network,United States,"$8,000,000",Series A,Jan 2025,Growth List
Gravity,www.gravityclimate.com,Accounting,United States,"$13,000,000",Series A,Jan 2025,Growth List
Ember Software,www.embersoftware.com,Cloud Computing,United States,"$10,000,000",Venture - Series Unknown,Jan 2025,Growth List
